"Site";"Lat";"Lon";"long";"lat";"long_corrected";"lat_corrected";"0";"45";"90";"135";"180";"225";"270";"215"
"1";1;67,007092;32,577748;32,577748;67,007092;32,577748;67,007092;27,0172993669112;30,60147376026;3995,55379643702;6323,06790353989;1241,40865848329;295,07096147843;352,681297338376;292,452936854421
"2";2;67,008026;32,589368;32,589368;67,008026;32,589368;67,008026;3518,14466893076;1894,09529450122;3422,64417837878;5217,1444621442;17698,8422499284;2264,30778757792;112,816583695787;2583,52038150871
"3";3;67,008627;32,572286;32,572286;67,008627;32,572286;67,008627;91,9108083347242;84,041699434747;139,514529585583;6597,81366102597;365,658047689118;174,714358190186;148,743841593212;201,128082688853
"4";4;67,00671;32,570262;32,570262;67,00671;32,570262;67,00671;346,291208277064;312,881255704794;4379,26977774576;2005,06162024092;89,7773625026906;25,6493222229342;20,5563077987549;29,8958916944149
"5";5;67,004117;32,5759;32,5759;67,004117;32,5759;67,004117;460,462778707523;600,384594516238;10546,0899646777;1650,44233421298;909,490508657192;1523,956204811;76,2547174629492;1725,03612689747
"6";6;67,02492;32,53991;32,53991;67,02492;32,53991;67,02492;9647,47742570558;137,520122785138;121,742211185757;74,7890633540675;15,2629235367852;12,5975438143196;21,3910787320886;12,4255750724276
"7";7;67,02832;32,531483;32,531483;67,02832;32,531483;67,02832;8173,50656738576;2205,92109137678;402,028520052576;72,9133429400526;24,263887820456;26,928795295422;3372,92546188847;24,181153658426
"8";8;66,97143;32,570247;32,570247;66,97143;32,570247;66,97143;3631,20371064778;20,9648943810537;11,3828625723164;10,8577632571065;18,1623766193449;44,2323982829496;325,736782754897;29,8127498773507
"9";9;66,970009;32,572618;32,572618;66,970009;32,572618;66,970009;3731,13110058871;2301,59367040764;1223,48434592849;1e+05;1619,89130096934;429,009310566885;399,164117808288;457,323270870326
